Sample,Repeat_ID,N_reads,Avg_repeat_units
H1,OPDM2_GIPC1,4941,45.03177494434325
H1,DM1_DMPK,5972,45.466175485599464
H1,SCA36_NOP56,5075,51.0128078817734
H1,CJD_PRNP,4614,73.99458170784568
H1,EPM1_CSTB,4414,42.93951064793838
H1,SCA10_ATXN10,5779,57.04118359577782
H1,SBMA_AR,3942,68.11846778285134
H1,FXS_FMR1,3232,63.991646039603964
H1,FRAXE_AFF2,3109,86.01029269861692
H3,SCA37_DAB1,3105,66.48502415458937
H3,OPDM_ABCD3,3823,40.99398378236987
H3,NIID_NOTCH2NLC,3354,49.55963029218843
H3,FRA2A_AFF3,3998,43.50900450225112
H3,SD5_HOXD13,3386,48.019196692262256
H3,SCA7_ATXN7,3309,48.01420368691448
H3,DM2_CNBP,3456,79.58188657407408
H3,HD_HTT,3033,83.57896472139795
H3,CANVAS_RFC1,2888,145.33206371191136
H3,CCHS_PHOX2B,2394,53.02548036758563
H3,SCA12_PPP2R2B,3610,47.00692520775623
H3,SCA1_ATXN1,3496,63.045766590389015
H3,SCA17_TBP,2833,69.07377338510413
H3,OPDM1_LRP12,3904,44.55584016393443
H3,FAME1_SAMD12,2431,61.51830522418758
H3,FTDALS1_C9orf72,4027,54.002234914328284
H3,FRDA_FXN,3419,46.52617724480842
H3,DRPLA_ATN1,3242,48.00832819247378
H3,SCA2_ATXN2,3820,55.55549738219895
H3,OPDM4_RILPL1,3769,43.00132661183338
H3,SCA8_ATXN8OS,3469,59.60593831075238
H3,SCA27B_FGF14,3315,119.7079939668175
H3,OPMD_PABPN1,3565,43.028892005610096
H3,SCA3_ATXN3,3300,58.05
H3,SCA31_BEAN1,2788,63.98242467718795
H3,SCA4_ZFHX3,4023,54.540889883171765
H3,HDL2_JPH3,3374,50.50355660936574
H3,FECD3_TCF4,3386,52.65859421145895
H3,SCA6_CACNA1A,2417,42.610674389739344
H3,OPDM2_GIPC1,3383,44.52497783032811
H3,DM1_DMPK,3597,53.37253266611065
H3,SCA36_NOP56,3190,51.01880877742947
H3,CJD_PRNP,2910,73.99931271477664
H3,EPM1_CSTB,2755,45.02431941923775
H3,SCA10_ATXN10,3486,54.51118760757315
H3,SBMA_AR,4363,67.13614485445794
H3,FXS_FMR1,3831,69.8979378752284
H3,FRAXE_AFF2,3336,84.51438848920863
